OPEN,SENTIMENT,GOOGLETRENDSCORE,ACTION,CLOSE,TIMESTAMP,TICKER
83.63,1,24,SELL,83.36,12/8/2017 9:30,MSFT
83.35,1,58,BUY,83.69,12/8/2017 9:31,MSFT
83.69,1,47,BUY,83.8325,12/8/2017 9:32,MSFT
83.83,1,71,BUY,83.9925,12/8/2017 9:33,MSFT
83.99,1,47,BUY,84.28,12/8/2017 9:34,MSFT
84.29,1,35,SELL,84.235,12/8/2017 9:35,MSFT
84.24,1,58,SELL,84.2103,12/8/2017 9:36,MSFT
84.24,1,75,BUY,84.265,12/8/2017 9:37,MSFT
84.27,1.2,47,BUY,84.31,12/8/2017 9:38,MSFT
84.3,1.1,41,BUY,84.385,12/8/2017 9:39,MSFT
84.39,1.1,30,SELL,84.29,12/8/2017 9:40,MSFT
84.28,1.3,76,SELL,84.11,12/8/2017 9:41,MSFT
84.1,1.3,95,SELL,84.02,12/8/2017 9:42,MSFT
84.02,0.966666667,57,BUY,84.04,12/8/2017 9:43,MSFT
84.03,0.966666667,86,BUY,84.18,12/8/2017 9:44,MSFT
84.18,0.966666667,79,BUY,84.19,12/8/2017 9:45,MSFT
84.18,0.400000001,61,SELL,84.0399,12/8/2017 9:46,MSFT
84.0363,0.200000001,11,BUY,84.1227,12/8/2017 9:47,MSFT
84.125,0.033333334,46,BUY,84.22,12/8/2017 9:48,MSFT
84.2175,0.033333334,90,SELL,84.16,12/8/2017 9:49,MSFT
84.16,0.033333334,69,SELL,84.03,12/8/2017 9:50,MSFT
84.03,0.5,52,HOLD,84.03,12/8/2017 9:51,MSFT
84.0377,0.078571429,100,SELL,84.01,12/8/2017 10:02,MSFT
84.01,0.145238096,38,SELL,83.98,12/8/2017 10:03,MSFT
83.98,0.245238096,64,BUY,84.05,12/8/2017 10:04,MSFT
84.06,0.066666667,91,SELL,84.035,12/8/2017 10:05,MSFT
1172.23,0.2,63,BUY,1172.38,12/8/2017 9:38,AMZN
1172.01,0.75,83,BUY,1172.105,12/8/2017 9:39,AMZN
1172.49,0.75,79,SELL,1171.52,12/8/2017 9:40,AMZN
1171.877,1.016666667,84,SELL,1170.02,12/8/2017 9:41,AMZN
1170.287,1.016666667,69,SELL,1170.16,12/8/2017 9:42,AMZN
1170.72,0.72,89,SELL,1170.12,12/8/2017 9:43,AMZN
1170.11,0.57,86,SELL,1169.925,12/8/2017 9:44,AMZN
1169.925,1.736666666,57,SELL,1169.7264,12/8/2017 9:45,AMZN
1169.99,1,63,BUY,1170.26,12/8/2017 9:46,AMZN
1170.39,1,45,BUY,1171,12/8/2017 9:47,AMZN
1170.91,0.7,73,SELL,1170.27,12/8/2017 9:48,AMZN
1170.48,0.266666667,54,SELL,1170.4433,12/8/2017 9:49,AMZN
1170.73,0.266666667,71,SELL,1170,12/8/2017 9:50,AMZN
1170,0.266666667,52,SELL,1169.3925,12/8/2017 9:51,AMZN
1169.66,0.266666667,49,BUY,1169.805,12/8/2017 9:52,AMZN
1169.53,0.266666667,78,SELL,1169.4799,12/8/2017 9:53,AMZN
1169.5004,0.166666667,68,SELL,1169.25,12/8/2017 9:57,AMZN
1169.22,0.166666667,57,BUY,1170.3,12/8/2017 9:58,AMZN
1170.5297,0.066666667,59,BUY,1170.785,12/8/2017 10:03,AMZN
153.94,0.141666667,87,SELL,153.78,12/8/2017 9:31,IBM
153.85,0.141666667,82,SELL,153.73,12/8/2017 9:32,IBM
153.67,0.141666667,77,SELL,153.6157,12/8/2017 9:33,IBM
153.64,0.141666667,80,BUY,153.67,12/8/2017 9:34,IBM
153.72,0.141666667,80,SELL,153.66,12/8/2017 9:35,IBM
153.74,0.141666667,79,SELL,153.71,12/8/2017 9:36,IBM
153.72,0.141666667,100,SELL,153.5717,12/8/2017 9:37,IBM
153.58,0.141666667,82,BUY,153.78,12/8/2017 9:38,IBM
153.8345,0.141666667,76,SELL,153.6464,12/8/2017 9:39,IBM
153.67,0.141666667,90,BUY,153.735,12/8/2017 9:40,IBM
153.75,0.141666667,84,BUY,153.8843,12/8/2017 9:41,IBM
153.92,0.141666667,77,HOLD,153.92,12/8/2017 9:42,IBM
153.97,0.141666667,78,BUY,154.06,12/8/2017 9:43,IBM
154.035,0.141666667,77,SELL,153.92,12/8/2017 9:44,IBM
153.905,0.575,83,BUY,153.92,12/8/2017 9:45,IBM
153.87,0.575,77,BUY,153.93,12/8/2017 9:46,IBM
153.9,0.575,80,SELL,153.86,12/8/2017 9:47,IBM
153.86,0.575,80,BUY,153.93,12/8/2017 9:48,IBM
153.97,0.575,88,BUY,154.03,12/8/2017 9:49,IBM
154.01,0.866666667,77,HOLD,154.01,12/8/2017 9:50,IBM
154.045,0.866666667,96,SELL,154,12/8/2017 9:51,IBM
154,0.866666667,96,SELL,153.99,12/8/2017 9:52,IBM
153.98,0.866666667,85,SELL,153.94,12/8/2017 9:53,IBM
153.93,0.466666667,89,BUY,153.96,12/8/2017 9:54,IBM
153.94,0.466666667,70,BUY,154.1,12/8/2017 9:55,IBM
154.09,0.466666667,83,BUY,154.11,12/8/2017 9:56,IBM
154.11,0.466666667,83,BUY,154.15,12/8/2017 9:57,IBM
154.18,0.466666667,81,BUY,154.31,12/8/2017 9:58,IBM
154.3,0.466666667,80,SELL,154.22,12/8/2017 9:59,IBM
154.19,0.466666667,81,SELL,154.09,12/8/2017 10:00,IBM
154,0.466666667,94,BUY,154.22,12/8/2017 10:01,IBM
154.21,0.466666667,88,SELL,154.07,12/8/2017 10:02,IBM
154.05,0.466666667,90,BUY,154.15,12/8/2017 10:03,IBM
154.26,0.466666667,97,HOLD,154.26,12/8/2017 10:04,IBM
154.23,0.466666667,99,SELL,154.13,12/8/2017 10:05,IBM
154.17,0.466666667,99,SELL,154.16,12/8/2017 10:06,IBM
84.18,0.1,25,BUY,84.26,12/8/2017 10:19,MSFT
84.26,0.1,63,BUY,84.31,12/8/2017 10:20,MSFT
84.31,0.1,26,BUY,84.38,12/8/2017 10:21,MSFT
84.3703,0.1,51,BUY,84.4,12/8/2017 10:22,MSFT
84.395,0.1,57,SELL,84.39,12/8/2017 10:23,MSFT
84.4,0.1,73,SELL,84.345,12/8/2017 10:24,MSFT
84.3445,0.1,48,SELL,84.34,12/8/2017 10:25,MSFT
84.345,0.1,56,BUY,84.43,12/8/2017 10:26,MSFT
84.43,0.1,52,SELL,84.395,12/8/2017 10:27,MSFT
84.4,0.1,31,SELL,84.35,12/8/2017 10:28,MSFT
84.35,0.1,36,BUY,84.38,12/8/2017 10:29,MSFT
84.3839,0.8,32,BUY,84.43,12/8/2017 10:30,MSFT
84.425,0.8,67,SELL,84.38,12/8/2017 10:31,MSFT
84.385,0.8,56,SELL,84.36,12/8/2017 10:32,MSFT
84.36,0.8,26,SELL,84.33,12/8/2017 10:33,MSFT
84.3363,0.6,62,SELL,84.329,12/8/2017 10:34,MSFT
84.32,0.6,41,SELL,84.3,12/8/2017 10:35,MSFT
84.305,0.6,73,SELL,84.28,12/8/2017 10:36,MSFT
84.29,0.6,64,BUY,84.33,12/8/2017 10:37,MSFT
84.3299,0.8,48,BUY,84.37,12/8/2017 10:38,MSFT
84.38,0.8,47,BUY,84.4,12/8/2017 10:39,MSFT
84.41,0.8,42,SELL,84.3,12/8/2017 10:40,MSFT
84.29,0.8,72,BUY,84.32,12/8/2017 10:41,MSFT
84.3251,0.5,21,SELL,84.31,12/8/2017 10:42,MSFT
84.31,0.5,36,BUY,84.315,12/8/2017 10:43,MSFT
84.3164,0.5,80,SELL,84.305,12/8/2017 10:44,MSFT
84.31,0.5,36,BUY,84.325,12/8/2017 10:45,MSFT
84.33,0.5,70,BUY,84.35,12/8/2017 10:46,MSFT
84.35,0.5,61,BUY,84.3747,12/8/2017 10:47,MSFT
84.375,0.8,51,SELL,84.3601,12/8/2017 10:48,MSFT
84.365,0.8,57,BUY,84.41,12/8/2017 10:49,MSFT
84.41,0.8,41,SELL,84.4,12/8/2017 10:50,MSFT
84.39,0.3,40,SELL,84.3501,12/8/2017 10:51,MSFT
84.3562,0.3,36,SELL,84.35,12/8/2017 10:52,MSFT
84.33,0.3,51,SELL,84.2973,12/8/2017 10:53,MSFT
84.29,0.3,40,SELL,84.28,12/8/2017 10:54,MSFT
84.24,0.65,41,SELL,84.23,12/8/2017 11:03,MSFT
84.2364,0.65,80,BUY,84.24,12/8/2017 11:04,MSFT
84.24,0.65,50,SELL,84.19,12/8/2017 11:05,MSFT
84.185,0.65,50,BUY,84.195,12/8/2017 11:06,MSFT
1168.28,0.233333333,54,SELL,1167.85,12/8/2017 10:33,AMZN
1168.01,0.233333333,78,SELL,1167.85,12/8/2017 10:34,AMZN
1167.9,1.758333333,56,BUY,1168.07,12/8/2017 10:35,AMZN
1167.9126,1.325,75,BUY,1168,12/8/2017 10:36,AMZN
1168.2,1.325,62,SELL,1167.85,12/8/2017 10:37,AMZN
1167.94,1.325,58,BUY,1168.47,12/8/2017 10:38,AMZN
1168.55,1.325,54,BUY,1168.965,12/8/2017 10:39,AMZN
1168.8,0.558333333,60,SELL,1168.25,12/8/2017 10:40,AMZN
1168.125,0.558333333,91,BUY,1168.46,12/8/2017 10:41,AMZN
1168.46,0.466666666,77,SELL,1168.135,12/8/2017 10:42,AMZN
1168.23,0.466666666,44,SELL,1167.6133,12/8/2017 10:43,AMZN
1167.7688,0.466666666,52,BUY,1167.8842,12/8/2017 10:44,AMZN
1167.99,0.466666666,63,SELL,1167.29,12/8/2017 10:45,AMZN
1167.52,0.433333333,55,BUY,1168.11,12/8/2017 10:46,AMZN
1168.21,0.433333333,55,BUY,1168.92,12/8/2017 10:47,AMZN
1168.8095,0.7,61,SELL,1168.69,12/8/2017 10:48,AMZN
1168.83,0.766666667,75,BUY,1168.8664,12/8/2017 10:49,AMZN
1168.72,0.766666667,40,SELL,1168.29,12/8/2017 10:50,AMZN
1168.5696,0.666666667,61,SELL,1168.4425,12/8/2017 10:51,AMZN
1168.5662,0.595238096,80,SELL,1167.9999,12/8/2017 10:52,AMZN
1167.7661,0.128571429,94,SELL,1167.4,12/8/2017 10:54,AMZN
1167.88,0.35,78,BUY,1168.12,12/8/2017 10:58,AMZN
1168.4833,0.35,73,SELL,1167.85,12/8/2017 10:59,AMZN
1168.04,0.35,84,BUY,1168.21,12/8/2017 11:00,AMZN
1168.2106,0.6,70,BUY,1168.3116,12/8/2017 11:01,AMZN
1168.315,0.06875,67,SELL,1168.1001,12/8/2017 11:02,AMZN
1168.43,1.00864899,55,BUY,1168.78,12/8/2017 11:03,AMZN
1168.8,0.55864899,76,BUY,1169.17,12/8/2017 11:04,AMZN
1169.43,0.58989899,61,SELL,1168.97,12/8/2017 11:05,AMZN
1169.28,0.38989899,61,BUY,1169.4197,12/8/2017 11:06,AMZN
154.19,0.466666667,77,SELL,154.15,12/8/2017 10:07,IBM
