,timestamp,IBM,entrydate,entrytime,stockticker
0,2017-12-21 13:35:00,55,2017-12-21,13:35:00,IBM
1,2017-12-21 13:36:00,72,2017-12-21,13:36:00,IBM
2,2017-12-21 13:37:00,84,2017-12-21,13:37:00,IBM
3,2017-12-21 13:38:00,58,2017-12-21,13:38:00,IBM
4,2017-12-21 13:39:00,62,2017-12-21,13:39:00,IBM
5,2017-12-21 13:40:00,81,2017-12-21,13:40:00,IBM
6,2017-12-21 13:41:00,75,2017-12-21,13:41:00,IBM
7,2017-12-21 13:42:00,63,2017-12-21,13:42:00,IBM
8,2017-12-21 13:43:00,54,2017-12-21,13:43:00,IBM
9,2017-12-21 13:44:00,60,2017-12-21,13:44:00,IBM
10,2017-12-21 13:45:00,59,2017-12-21,13:45:00,IBM
11,2017-12-21 13:46:00,65,2017-12-21,13:46:00,IBM
12,2017-12-21 13:47:00,63,2017-12-21,13:47:00,IBM
13,2017-12-21 13:48:00,60,2017-12-21,13:48:00,IBM
14,2017-12-21 13:49:00,65,2017-12-21,13:49:00,IBM
15,2017-12-21 13:50:00,60,2017-12-21,13:50:00,IBM
16,2017-12-21 13:51:00,65,2017-12-21,13:51:00,IBM
17,2017-12-21 13:52:00,82,2017-12-21,13:52:00,IBM
18,2017-12-21 13:53:00,75,2017-12-21,13:53:00,IBM
19,2017-12-21 13:54:00,72,2017-12-21,13:54:00,IBM
20,2017-12-21 13:55:00,61,2017-12-21,13:55:00,IBM
21,2017-12-21 13:56:00,82,2017-12-21,13:56:00,IBM
22,2017-12-21 13:57:00,73,2017-12-21,13:57:00,IBM
23,2017-12-21 13:58:00,78,2017-12-21,13:58:00,IBM
24,2017-12-21 13:59:00,79,2017-12-21,13:59:00,IBM
25,2017-12-21 14:00:00,66,2017-12-21,14:00:00,IBM
26,2017-12-21 14:01:00,74,2017-12-21,14:01:00,IBM
27,2017-12-21 14:02:00,71,2017-12-21,14:02:00,IBM
28,2017-12-21 14:03:00,85,2017-12-21,14:03:00,IBM
29,2017-12-21 14:04:00,79,2017-12-21,14:04:00,IBM
30,2017-12-21 14:05:00,72,2017-12-21,14:05:00,IBM
31,2017-12-21 14:06:00,70,2017-12-21,14:06:00,IBM
32,2017-12-21 14:07:00,60,2017-12-21,14:07:00,IBM
33,2017-12-21 14:08:00,66,2017-12-21,14:08:00,IBM
34,2017-12-21 14:09:00,65,2017-12-21,14:09:00,IBM
35,2017-12-21 14:10:00,72,2017-12-21,14:10:00,IBM
36,2017-12-21 14:11:00,65,2017-12-21,14:11:00,IBM
37,2017-12-21 14:12:00,73,2017-12-21,14:12:00,IBM
38,2017-12-21 14:13:00,71,2017-12-21,14:13:00,IBM
39,2017-12-21 14:14:00,69,2017-12-21,14:14:00,IBM
40,2017-12-21 14:15:00,56,2017-12-21,14:15:00,IBM
41,2017-12-21 14:16:00,55,2017-12-21,14:16:00,IBM
42,2017-12-21 14:17:00,80,2017-12-21,14:17:00,IBM
43,2017-12-21 14:18:00,63,2017-12-21,14:18:00,IBM
44,2017-12-21 14:19:00,59,2017-12-21,14:19:00,IBM
45,2017-12-21 14:20:00,70,2017-12-21,14:20:00,IBM
46,2017-12-21 14:21:00,59,2017-12-21,14:21:00,IBM
47,2017-12-21 14:22:00,64,2017-12-21,14:22:00,IBM
48,2017-12-21 14:23:00,68,2017-12-21,14:23:00,IBM
49,2017-12-21 14:24:00,61,2017-12-21,14:24:00,IBM
50,2017-12-21 14:25:00,72,2017-12-21,14:25:00,IBM
51,2017-12-21 14:26:00,77,2017-12-21,14:26:00,IBM
52,2017-12-21 14:27:00,82,2017-12-21,14:27:00,IBM
53,2017-12-21 14:28:00,77,2017-12-21,14:28:00,IBM
54,2017-12-21 14:29:00,79,2017-12-21,14:29:00,IBM
55,2017-12-21 14:30:00,77,2017-12-21,14:30:00,IBM
56,2017-12-21 14:31:00,78,2017-12-21,14:31:00,IBM
57,2017-12-21 14:32:00,79,2017-12-21,14:32:00,IBM
58,2017-12-21 14:33:00,100,2017-12-21,14:33:00,IBM
59,2017-12-21 14:34:00,76,2017-12-21,14:34:00,IBM
