,timestamp,open,high,low,close,volume,entrydate,entrytime,stockticker
99,2017-12-26 15:25:00,152.61,152.62,152.5886,152.62,1863,2017-12-26,15:25:00,IBM
98,2017-12-26 15:26:00,152.6176,152.65,152.59,152.645,4735,2017-12-26,15:26:00,IBM
97,2017-12-26 15:27:00,152.65,152.65,152.57,152.57,10171,2017-12-26,15:27:00,IBM
96,2017-12-26 15:28:00,152.57,152.61,152.54,152.61,4192,2017-12-26,15:28:00,IBM
95,2017-12-26 15:29:00,152.6,152.6148,152.59,152.59,3749,2017-12-26,15:29:00,IBM
94,2017-12-26 15:30:00,152.6,152.62,152.595,152.62,3689,2017-12-26,15:30:00,IBM
93,2017-12-26 15:31:00,152.62,152.63,152.6,152.61,6156,2017-12-26,15:31:00,IBM
92,2017-12-26 15:32:00,152.6,152.63,152.59,152.61,7269,2017-12-26,15:32:00,IBM
91,2017-12-26 15:33:00,152.62,152.64,152.61,152.64,5078,2017-12-26,15:33:00,IBM
90,2017-12-26 15:34:00,152.64,152.67,152.64,152.65,5919,2017-12-26,15:34:00,IBM
89,2017-12-26 15:35:00,152.66,152.675,152.655,152.675,8600,2017-12-26,15:35:00,IBM
88,2017-12-26 15:36:00,152.67,152.67,152.64,152.645,11441,2017-12-26,15:36:00,IBM
87,2017-12-26 15:37:00,152.645,152.67,152.645,152.6535,5536,2017-12-26,15:37:00,IBM
86,2017-12-26 15:38:00,152.655,152.66,152.63,152.66,6036,2017-12-26,15:38:00,IBM
85,2017-12-26 15:39:00,152.66,152.7,152.66,152.69,7694,2017-12-26,15:39:00,IBM
84,2017-12-26 15:40:00,152.69,152.72,152.6846,152.7154,5701,2017-12-26,15:40:00,IBM
83,2017-12-26 15:41:00,152.7086,152.72,152.69,152.715,5707,2017-12-26,15:41:00,IBM
82,2017-12-26 15:42:00,152.71,152.7256,152.7,152.725,5759,2017-12-26,15:42:00,IBM
81,2017-12-26 15:43:00,152.72,152.75,152.72,152.745,3612,2017-12-26,15:43:00,IBM
80,2017-12-26 15:44:00,152.745,152.76,152.73,152.735,3763,2017-12-26,15:44:00,IBM
79,2017-12-26 15:45:00,152.74,152.75,152.7,152.73,6987,2017-12-26,15:45:00,IBM
78,2017-12-26 15:46:00,152.71,152.765,152.71,152.76,4394,2017-12-26,15:46:00,IBM
77,2017-12-26 15:47:00,152.7675,152.78,152.76,152.7775,4241,2017-12-26,15:47:00,IBM
76,2017-12-26 15:48:00,152.7748,152.7748,152.71,152.71,21718,2017-12-26,15:48:00,IBM
75,2017-12-26 15:49:00,152.71,152.77,152.71,152.77,8071,2017-12-26,15:49:00,IBM
74,2017-12-26 15:50:00,152.7712,152.79,152.74,152.74,21668,2017-12-26,15:50:00,IBM
73,2017-12-26 15:51:00,152.74,152.76,152.71,152.76,19435,2017-12-26,15:51:00,IBM
72,2017-12-26 15:52:00,152.76,152.76,152.73,152.75,20735,2017-12-26,15:52:00,IBM
