timestamp,ChaikinAD,ADOSC,ADX,ADXR,APO,AroonDown,AroonUp,AROONOSC,ATR,BOP,CCI,CMO,DEMA,DX,EMA,DCPERIOD,HT_DCPHASE,PHASE,QUADRATURE,SINE,LeadSine,HT_TRENDLINE,TRENDMODE,KAMA,MACD_Signal,MACD_Hist,MACD,MACD_Signal,MACD_Hist,MACD,MAMA,FAMA,MFI,MIDPOINT,MIDPRICE,MINUS_DI,MOM,NATR,OBV,PLUS_DI,PLUS_DM,PPO,ROC,ROCR,RSI,SAR,SMA,SlowK,SlowD,FastK,FastD,FastK,FastD,T3,TEMA,TRANGE,TRIMA,TRIX,ULTOSC,WILLR,WMA,RealUpperBand,RealLowerBand,RealMiddleBand,stockticker
2017-12-08 11:25,-79403.88,-3168.61,13.93,19.97,-0.04,60.0,20.0,-40.0,0.06,-0.75,-110.43,-4.86,154.56,9.96,154.56,18.63,66.79,0.07,0.01,0.92,0.93,154.57,1.0,154.51,0.01,-0.01,0.0,-0.02,-0.02,-0.04,99.57,25.32,44.44,154.57,154.57,28.25,-0.12,0.04,104721.0,23.14,0.26,-0.03,-0.08,1.0,47.57,154.74,154.57,23.65,45.23,0.0,23.65,0.0,20.49,154.61,154.53,0.04,154.56,0.0,49.79,-89.47,154.55,154.67,154.47,154.57,IBM
2017-12-08 11:26,-80254.88,-4215.23,13.82,19.82,-0.04,55.0,15.0,-40.0,0.05,-1.0,-133.03,-6.16,154.54,11.58,154.55,19.06,75.41,0.03,-0.07,0.97,0.86,154.57,0.0,154.51,0.0,-0.01,-0.01,-0.03,-0.01,-0.04,100.12,25.69,50.29,154.57,154.57,28.66,-0.15,0.04,103870.0,22.71,0.25,-0.03,-0.1,1.0,46.92,154.74,154.56,1.43,24.03,0.0,1.43,0.0,0.0,154.61,154.51,0.02,154.55,0.0,40.54,-94.74,154.55,154.67,154.46,154.56,IBM
2017-12-08 11:27,-77132.88,-3266.83,13.79,19.72,-0.04,100.0,10.0,-90.0,0.05,0.67,-116.05,-3.2,154.54,13.23,154.55,19.41,69.79,0.01,-0.05,0.94,0.91,154.56,0.0,154.51,0.0,-0.01,-0.01,-0.03,-0.01,-0.04,100.66,26.07,49.63,154.57,154.57,28.79,-0.15,0.03,106992.0,22.06,0.23,-0.03,-0.09,1.0,48.4,154.73,154.56,9.71,11.6,29.13,9.71,24.49,8.16,154.6,154.51,0.03,154.55,0.0,42.71,-84.21,154.54,154.65,154.46,154.56,IBM
2017-12-08 11:28,-81010.88,-3815.77,14.07,19.82,-0.04,100.0,5.0,-95.0,0.05,-1.0,-166.23,-12.2,154.52,19.54,154.54,19.39,55.16,0.0,-0.07,0.82,0.98,154.55,0.0,154.51,0.0,-0.01,-0.02,-0.03,0.0,-0.04,101.2,26.44,46.3,154.55,154.56,30.64,-0.22,0.03,103114.0,20.62,0.22,-0.02,-0.14,1.0,43.9,154.73,154.55,9.71,6.95,0.0,9.71,0.0,8.16,154.6,154.48,0.07,154.55,0.0,38.44,-100.0,154.53,154.64,154.45,154.55,IBM
2017-12-08 11:29,-87027.88,-5607.95,14.99,19.79,-0.04,100.0,0.0,-100.0,0.06,-0.85,-264.05,-22.97,154.49,32.47,154.52,19.02,296.07,-0.03,-0.09,-0.9,-0.32,154.54,0.0,154.49,-0.01,-0.02,-0.03,-0.04,0.0,-0.04,101.73,26.82,42.87,154.47,154.5,35.57,-0.32,0.04,97097.0,18.13,0.21,-0.02,-0.21,1.0,38.52,154.71,154.53,9.71,9.71,0.0,9.71,0.0,8.16,154.59,154.44,0.14,154.54,0.0,24.61,-100.0,154.51,154.65,154.41,154.53,IBM
2017-12-08 11:30,-81555.88,-4090.21,16.13,19.82,-0.04,100.0,0.0,-100.0,0.06,0.0,-263.92,-18.38,154.46,37.74,154.5,18.49,302.77,-0.06,-0.06,-0.84,-0.21,154.53,0.0,154.48,-0.01,-0.02,-0.04,-0.04,0.0,-0.04,102.26,27.2,42.66,154.47,154.44,37.39,-0.21,0.04,102569.0,16.9,0.2,-0.03,-0.13,1.0,40.81,154.7,154.52,12.12,10.51,36.36,12.12,23.2,7.73,154.58,154.41,0.08,154.54,0.0,33.82,-74.19,154.5,154.65,154.38,154.52,IBM
2017-12-08 11:31,-80601.88,-2793.93,16.99,19.71,-0.05,95.0,50.0,-45.0,0.06,-0.11,-175.72,-16.7,154.44,33.36,154.49,17.96,313.76,-0.07,-0.02,-0.72,-0.02,154.52,0.0,154.48,-0.02,-0.02,-0.04,-0.04,-0.01,-0.05,102.78,27.57,49.09,154.47,154.44,36.42,-0.18,0.04,104954.0,18.2,0.21,-0.03,-0.12,1.0,41.65,154.67,154.51,25.91,15.91,41.36,25.91,31.69,18.3,154.58,154.39,0.03,154.53,0.0,36.57,-70.65,154.48,154.66,154.36,154.51,IBM
2017-12-08 11:32,-83777.88,-3020.19,18.07,19.76,-0.06,90.0,45.0,-45.0,0.06,-0.65,-180.59,-24.02,154.41,38.5,154.48,17.47,-36.81,-0.06,-0.01,-0.6,0.14,154.5,0.0,154.47,-0.03,-0.03,-0.05,-0.04,-0.02,-0.06,103.29,27.95,48.68,154.45,154.44,38.31,-0.21,0.04,101778.0,17.01,0.2,-0.04,-0.14,1.0,37.99,154.65,154.5,28.94,22.32,9.09,28.94,0.0,18.3,154.57,154.36,0.08,154.52,0.0,33.73,-93.55,154.46,154.67,154.33,154.5,IBM
2017-12-08 11:33,-86226.21,-3617.2,19.14,19.86,-0.07,85.0,40.0,-45.0,0.06,0.0,-163.15,-24.02,154.39,39.49,154.46,17.06,-23.45,-0.07,-0.06,-0.4,0.37,154.49,0.0,154.46,-0.03,-0.03,-0.06,-0.05,-0.02,-0.07,103.8,28.33,38.15,154.45,154.44,38.18,-0.27,0.04,101778.0,16.56,0.19,-0.04,-0.17,1.0,37.99,154.63,154.49,20.33,25.06,10.53,20.33,0.0,10.56,154.55,154.33,0.03,154.51,0.0,32.91,-93.55,154.45,154.67,154.3,154.49,IBM
2017-12-08 11:34,-80286.51,-1642.69,19.72,19.74,-0.07,80.0,35.0,-45.0,0.06,0.97,-112.68,-14.99,154.38,30.75,154.45,16.82,-12.04,-0.12,-0.05,-0.21,0.54,154.48,0.0,154.45,-0.04,-0.02,-0.06,-0.05,-0.02,-0.07,104.31,28.71,35.4,154.45,154.44,35.88,-0.18,0.04,108157.0,19.0,0.22,-0.05,-0.12,1.0,42.51,154.61,154.48,32.31,27.19,77.3,32.31,100.0,33.33,154.54,154.33,0.07,154.5,0.0,37.42,-75.06,154.43,154.67,154.29,154.48,IBM
