,followers_count,retweet_count,sentiment,text,username,timestamp,entrydate,entrytime,searchvalue
0,799678,6,0.0,#Stocks to Watch Today $IBM $F $WFC $WMT https://t.co/OgvF1L75rG https://t.co/XKHfcqqwIh,YahooFinance,2017-12-14 09:43:13,2017-12-14,09:43:13,IBM
78,224,0,0.216666666667,7 users on Vetr are bullish on International Business Machin... indicating a STRONG BUY Rating (4.5 stars for $IBM https://t.co/XLz7bDcNpV,VetrRatings,2017-12-14 10:10:55,2017-12-14,10:10:55,IBM
77,11109,0,0.0,Cryptocurrency and IBM? $IBM https://t.co/eZNwz7oSxq,TV_TradingIdeas,2017-12-14 10:13:47,2017-12-14,10:13:47,IBM
76,451,1,0.311904761905,RT _com Hot stocks right now are $SHMN $IBM $OTTV $NSAV $TXJK $BSTN DD available on https://t.co/3UE1yNhRgm https://t.co/2r4Y…,jam061200,2017-12-14 10:18:31,2017-12-14,10:18:31,IBM
75,506,0,0.2,Getting ready for a #quantum world $GOOG $IBM $MSFT https://t.co/0Bb5u49vD4,mchilberg,2017-12-14 10:27:16,2017-12-14,10:27:16,IBM
74,1672,1,0.25,#bitcoin #blockchain #Stellar #Lumens #xlm #business #nasdaq #cryptocurrency #Banking #dollar #news #finance #NYSE https://t.co/v98mheub6i,Stellar_Lumens,2017-12-14 10:34:40,2017-12-14,10:34:40,IBM
73,1672,0,0.25,#bitcoin #blockchain #Stellar #Lumens #xlm #business #nasdaq #cryptocurrency #Banking #dollar #news #finance #NYSE https://t.co/pUOc0sfpwC,Stellar_Lumens,2017-12-14 10:35:06,2017-12-14,10:35:06,IBM
72,670,0,-0.125,. The signals Market Makers send each other to move a stock: https://t.co/edw9AGyFZ6 . . . $DIA $IBM $AAPL $TSLA https://t.co/aJyCIIrHa9,FalconStocks,2017-12-14 10:35:07,2017-12-14,10:35:07,IBM
71,446,6,0.0,RT #Stocks to Watch Today $IBM $F $WFC $WMT https://t.co/OgvF1L75rG https://t.co/XKHfcqqwIh,jake_r_redmond,2017-12-14 10:38:34,2017-12-14,10:38:34,IBM
70,670,0,0.0,. NYSE Septuple! . 94 Avg Gain 100 Unbiased https://t.co/NnCASVANJz . . $SSH $SPHS $PPHM $ZIOP $MTW $SCYX $FOLD https://t.co/FAkJD2cE28,FalconStocks,2017-12-14 10:38:38,2017-12-14,10:38:38,IBM
69,356,0,0.0,When $TWTR is purchased by media or tech titan only word be used discuss competitive loss to others will be https://t.co/fku6TMVCLB,zerofiltertruth,2017-12-14 10:41:10,2017-12-14,10:41:10,IBM
68,1521,0,0.0,Northwestern Mutual Wealth Management Co Boosts Position in International Business Machines Corporation $IBM https://t.co/TmDJH80uKG,SleekMoneycom,2017-12-14 10:44:59,2017-12-14,10:44:59,IBM
67,86,0,-0.4,"Intl Business Machines $IBM Shares Declined While Cadinha &amp Co Decreased by $328,644 Its Position ...",MariaDa18810214,2017-12-14 10:54:11,2017-12-14,10:54:11,IBM
66,214452,0,0.0,A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent #BlockchainExpo https://t.co/KgeBtTPWOD,InvestorIdeas,2017-12-14 10:58:19,2017-12-14,10:58:19,IBM
65,214452,0,0.0,A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent #BlockchainExpo https://t.co/xHvrH7Wcrv,InvestorIdeas,2017-12-14 11:00:22,2017-12-14,11:00:22,IBM
64,3741,0,0.0,Get actionable trade ideas on #NYSE and #NASDAQ stocks https://t.co/7AM3S275rV $MSFT $IBM $NVDA $F $AMD $ABX just $50 USD/month,turbostocks,2017-12-14 11:00:39,2017-12-14,11:00:39,IBM
63,86,0,0.0,Bonness Enterprises Has Increased Ibm $IBM Stake https://t.co/iKen59Ebgb,MariaDa18810214,2017-12-14 11:03:31,2017-12-14,11:03:31,IBM
62,2895,0,0.0,Prem Watsa's $500 Million Bet On Blackberry https://t.co/zPe43VUN8c $BB $USG $IBM $JNJ $KW $RFP $IPI,MarginHunt,2017-12-14 11:09:07,2017-12-14,11:09:07,IBM
61,212,5,0.125,"RT _Lumens Forget Bitcoin Stellar Lumens up 6,300 Since March Big Blockchain Partners #bitcoin #blockchain #St…",JeroendeBeer1,2017-12-14 11:10:31,2017-12-14,11:10:31,IBM
60,5937,6,0.0,RT #Stocks to Watch Today $IBM $F $WFC $WMT https://t.co/OgvF1L75rG https://t.co/XKHfcqqwIh,LeeiaLH,2017-12-14 11:31:54,2017-12-14,11:31:54,IBM
58,214452,0,0.0,A Glimpse of #Blockchain Potential and Opportunities from IBM and Attendees of recent #BlockchainExpo https://t.co/wmMYSmD6zA,InvestorIdeas,2017-12-14 11:40:15,2017-12-14,11:40:15,IBM
59,214452,0,0.0,A Glimpse of #Blockchain Potential and Opportunities from IBM and Attendees of recent #BlockchainExpo https://t.co/6GcoPQoV0n,InvestorIdeas,2017-12-14 11:40:15,2017-12-14,11:40:15,IBM
57,145,0,0.5,So $ostk want to be like $ibm but just the #blockchain 🤷🏻‍♂ $IBM is cheaper and way more ahead,echotoall,2017-12-14 11:43:00,2017-12-14,11:43:00,IBM
56,5,0,0.0,Sold to open Jan 165/145 strangle in $IBM for $1.61 will close at 50 of credit received A100k,SFoptionTrader,2017-12-14 11:47:42,2017-12-14,11:47:42,IBM
55,448,0,0.0,IBM teams up to develop #quantumcomputing for commercial use https://t.co/YQzWkl6Yyj $IBM $SSNLF $HMC $JPM,RonReblando,2017-12-14 11:51:35,2017-12-14,11:51:35,IBM
54,244,0,0.0,IBM teams up for quantum computing push https://t.co/G2FFipmhbJ $IBM $SSNLF $HMC $JPM,OI_Chief,2017-12-14 11:55:17,2017-12-14,11:55:17,IBM
53,162,0,0.125,"Forget Bitcoin Stellar Lumens Is Up 6,300 Since March and Is Aiming for Big Blockchain Partners https://t.co/ylFpNiF3td",brino53,2017-12-14 11:55:24,2017-12-14,11:55:24,IBM
52,409,0,0.0,Traders Sell Shares of International Business Machines $IBM on Strength $IBM https://t.co/J8ew4mf29l,TheMarketsDaily,2017-12-14 11:57:33,2017-12-14,11:57:33,IBM
51,214452,0,0.0,#Blockchain News A Glimpse of #Blockchain Potential and Opportunities from IBM and Attendees of recent https://t.co/qlNBD17epL,InvestorIdeas,2017-12-14 12:15:22,2017-12-14,12:15:22,IBM
50,9538,193,0.5,RT Many more #womenintech #WomenInSTEM #womeninbiz needed in #AI #BigData #IoT #robotics #tech #Fortune500 $GOOG $MSFT $FB $AAP…,arnabch01,2017-12-14 12:31:00,2017-12-14,12:31:00,IBM
49,9538,35,0.0,RT #china marching ahead in #exascale #HPC #Quantumcomputing Sunway TaihuLight &amp Tianhe-2 way ahead now #USA need to spend more…,arnabch01,2017-12-14 12:37:37,2017-12-14,12:37:37,IBM
48,9538,42,0.3,RT #CEO #CTO #fortune500 #globalwarming sure to completely wreck #world #economy #survival of #humanity is at stake #please har…,arnabch01,2017-12-14 12:38:33,2017-12-14,12:38:33,IBM
47,9538,124,0.0,RT #China🇨��� makes big leap in #QuantumComputing #AI #ML #BigData #robotics #IoT #IIoT $GOOG $MSFT $IBM $INTC #investor https:/…,arnabch01,2017-12-14 12:42:49,2017-12-14,12:42:49,IBM
46,881,0,0.0,#Salesforce is Trading at 168X Next Year's EST Valeant &lt;7X!! Buy Valeant Sell Salesforce $aapl $amzn $agn $brk https://t.co/CsGvMpeLjX,brianfires,2017-12-14 12:49:40,2017-12-14,12:49:40,IBM
45,214452,0,0.0,#BlockchainExpo News A Glimpse of #Blockchain Potential and Opportunities from #IBM and Attendees of recent Blockc https://t.co/Nol2pQ9VQO,InvestorIdeas,2017-12-14 13:01:39,2017-12-14,13:01:39,IBM
44,145,0,0.5,Interesting write up Also interesting anecdotal note in write up the importance of chain w out the speculation T https://t.co/v429JD9bXr,echotoall,2017-12-14 13:15:59,2017-12-14,13:15:59,IBM
43,11272,124,0.0,RT #China🇨��� makes big leap in #QuantumComputing #AI #ML #BigData #robotics #IoT #IIoT $GOOG $MSFT $IBM $INTC #investor https:/…,ele9061,2017-12-14 13:22:31,2017-12-14,13:22:31,IBM
42,76,0,0.0,The trade might be $IBM..,bigtigerjim,2017-12-14 13:25:07,2017-12-14,13:25:07,IBM
41,1664,0,0.0,International Business Machines Corporation $IBM Shares Bought by Afam Capital Inc https://t.co/W2cwCYpks2,midetimes,2017-12-14 13:54:31,2017-12-14,13:54:31,IBM
